City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cape Town,94,ZA,1600635023,73,-33.93,18.42,57.0,1.99
Kavieng,2,PG,1600635208,77,-2.57,150.8,83.43,12.33
Touros,40,BR,1600635196,74,-5.2,-35.46,80.6,13.87
Punta Arenas,96,CL,1600635660,57,-53.15,-70.92,51.8,14.99
Kiama,0,AU,1600635660,70,-34.68,150.87,70.0,5.01
Harnoli,0,PK,1600635660,23,32.28,71.55,88.66,6.93
Neftekamsk,3,RU,1600635661,94,56.09,54.27,38.52,8.08
Gimli,99,CA,1600635209,99,50.63,-96.99,72.0,11.01
New Norfolk,66,AU,1600635662,79,-42.78,147.06,55.99,3.51
Port Blair,100,IN,1600635663,80,11.67,92.75,82.2,18.5
Oussouye,20,SN,1600635663,83,12.48,-16.55,82.4,4.7
Barrow,90,US,1600635210,92,71.29,-156.79,32.0,8.05
Arraial do Cabo,90,BR,1600635575,94,-22.97,-42.03,71.6,2.24
Americus,40,US,1600635211,53,32.07,-84.23,73.4,9.17
Chākia,42,IN,1600635664,79,26.42,85.05,83.53,6.22
Anadyr,100,RU,1600635212,80,64.75,177.48,39.2,4.47
Ushuaia,75,AR,1600635474,52,-54.8,-68.3,46.4,4.7
Rikitea,85,PF,1600635665,78,-23.12,-134.97,71.98,22.91
Qaanaaq,97,GL,1600635212,92,77.48,-69.36,21.15,3.67
Vrede,62,ZA,1600635213,31,-27.43,29.17,68.29,6.22
Buala,64,SB,1600635213,77,-8.14,159.59,81.95,2.73
Airai,27,TL,1600635666,100,-8.93,125.41,60.35,2.42
Wanlaweyn,17,SO,1600635667,76,2.62,44.89,75.09,12.82
Mataura,3,NZ,1600635667,97,-46.19,168.86,48.0,1.01
Severo-Kuril'sk,6,RU,1600635214,80,50.68,156.12,48.13,8.9
Nanortalik,0,GL,1600635668,80,60.14,-45.24,37.72,11.34
Jönköping,100,SE,1600635668,93,57.78,14.16,51.8,5.82
Zyryanka,0,RU,1600635215,86,65.75,150.85,34.39,4.14
Khatanga,67,RU,1600635669,90,71.97,102.5,40.82,9.4
Giohar,49,SO,1600635215,76,2.78,45.5,74.86,12.28
Chokurdakh,8,RU,1600635215,90,70.63,147.92,35.56,9.55
Flagstaff,1,US,1600635669,14,35.2,-111.65,82.99,14.99
Oksovskiy,100,RU,1600635670,93,62.61,39.9,40.93,7.45
Hithadhoo,100,MV,1600635670,81,-0.6,73.08,81.36,13.89
Garden City,20,US,1600635600,39,42.33,-83.33,69.8,9.17
Busselton,100,AU,1600635671,69,-33.65,115.33,51.01,11.25
Taoudenni,9,ML,1600635671,19,22.68,-3.98,98.28,7.05
Yellowknife,75,CA,1600635657,54,62.46,-114.35,57.2,9.17
Kaitangata,10,NZ,1600635217,91,-46.28,169.85,44.01,4.0
Mahanje,0,TZ,1600635672,69,-9.93,35.33,63.61,2.21
Butaritari,63,KI,1600635672,75,3.07,172.79,82.42,15.59
Mackay,75,AU,1600635673,93,-21.15,149.2,70.0,3.36
Saint-Philippe,40,RE,1600635673,68,-21.36,55.77,69.8,2.24
Guamal,97,CO,1600635219,66,9.14,-74.22,88.18,3.4
Ribeira Grande,20,PT,1600635674,72,38.52,-28.7,68.0,19.46
Vaini,75,TO,1600635220,83,-21.2,-175.2,75.2,9.17
Gobabis,0,NA,1600635220,23,-22.45,18.97,65.03,7.67
Kapaa,90,US,1600635220,94,22.08,-159.32,82.0,3.36
Upernavik,73,GL,1600635675,88,72.79,-56.15,30.25,6.24
Coahuayana Viejo,75,MX,1600635221,74,18.73,-103.68,82.4,6.96
Mogok,100,MM,1600635221,100,22.92,96.5,67.17,2.62
Cherskiy,0,RU,1600635676,90,68.75,161.3,33.42,2.62
Port Hardy,90,CA,1600635606,100,50.7,-127.42,55.4,2.24
Mossamedes,55,AO,1600635222,85,-15.2,12.15,62.87,7.29
Cidreira,0,BR,1600635222,48,-30.18,-50.21,54.48,7.27
Avarua,100,CK,1600635222,83,-21.21,-159.78,78.8,8.05
Belaya Gora,0,RU,1600635677,86,68.53,146.42,35.37,7.14
Umluj,0,SA,1600635678,39,25.02,37.27,89.11,7.99
Hobart,75,AU,1600635594,72,-42.88,147.33,60.8,13.87
Sola,37,VU,1600635673,82,-13.88,167.55,78.73,22.35
Praia,100,CV,1600635224,73,14.92,-23.51,80.62,2.26
Whitehorse,75,CA,1600635679,48,60.72,-135.05,50.0,10.29
La Ronge,75,CA,1600635224,67,55.1,-105.28,62.6,5.82
Russkiy Aktash,75,RU,1600635679,86,55.04,52.12,41.0,13.42
Clyde River,1,CA,1600635679,85,70.47,-68.59,32.0,3.78
Altay,94,CN,1600635680,45,47.87,88.12,51.51,3.76
Wenling,99,CN,1600635680,79,28.37,121.36,73.0,7.14
Klaksvík,100,FO,1600635226,100,62.23,-6.59,51.8,12.75
Beyneu,0,KZ,1600635681,62,45.32,55.2,52.05,14.43
Bud,1,US,1600635681,23,39.45,-86.18,73.4,11.41
Deputatsky,0,RU,1600635681,96,69.3,139.9,32.38,1.48
Beira,0,MZ,1600635682,94,-19.84,34.84,68.0,5.82
Jamestown,1,US,1600635682,38,42.1,-79.24,61.0,4.7
Geraldton,90,AU,1600635683,71,-28.77,114.6,53.6,11.34
Fortuna,1,US,1600635683,72,40.6,-124.16,70.0,16.11
Saskylakh,92,RU,1600635684,86,71.92,114.08,45.61,5.99
Carutapera,4,BR,1600635684,76,-1.2,-46.02,80.15,8.9
Novikovo,0,RU,1600635685,72,51.15,37.89,45.36,3.56
Longyearbyen,75,SJ,1600635229,69,78.22,15.64,35.6,19.46
Ushirombo,56,TZ,1600635685,62,-3.49,31.96,70.57,4.27
East London,87,ZA,1600635229,65,-33.02,27.91,63.14,19.95
Port Alfred,1,ZA,1600635686,71,-33.59,26.89,60.39,25.75
Muravlenko,100,RU,1600635686,85,63.79,74.52,50.02,17.22
Rawson,0,AR,1600634964,52,-43.3,-65.1,49.05,11.7
Albany,0,US,1600635629,27,42.6,-73.97,63.0,6.2
Aklavik,90,CA,1600635687,86,68.22,-135.01,39.2,5.82
Nome,75,US,1600635688,86,64.5,-165.41,43.0,3.69
Coos Bay,1,US,1600635231,68,43.37,-124.22,77.0,3.36
Norman Wells,75,CA,1600635688,66,65.28,-126.83,53.6,2.24
Voyvozh,99,RU,1600635688,92,62.89,54.96,35.37,8.7
Quatre Cocos,40,MU,1600635689,73,-20.21,57.76,71.6,12.75
Santa Isabel Rio Negro,65,BR,1600635689,41,-0.41,-65.02,94.46,2.91
Guerrero Negro,0,MX,1600635232,38,27.98,-114.06,88.72,13.27
Burnie,100,AU,1600635690,87,-41.07,145.92,54.0,5.01
Khandyga,29,RU,1600635690,89,62.67,135.6,38.39,1.43
Cockburn Town,20,TC,1600635519,62,21.46,-71.14,86.0,6.93
Atuona,0,PF,1600635691,70,-9.8,-139.03,78.87,20.07
Thompson,75,CA,1600635234,53,55.74,-97.86,73.4,9.17
Joshīmath,0,IN,1600635691,41,30.57,79.57,61.52,3.33
Bluff,5,NZ,1600635234,98,-46.6,168.33,46.99,10.49
Monrovia,100,LR,1600635692,90,6.3,-10.8,76.42,10.04
Presidencia Roque Sáenz Peña,95,AR,1600635235,39,-26.79,-60.44,64.54,2.86
Goderich,0,CA,1600635235,53,43.75,-81.72,66.99,6.31
Sikasso,60,ML,1600635693,84,10.92,-7.0,77.16,2.71
Raudeberg,100,NO,1600635694,88,61.99,5.14,55.0,30.31
Zheleznodorozhnyy,90,RU,1600635562,75,55.75,38.0,46.0,6.71
Constitución,61,CL,1600635694,56,-35.33,-72.42,59.85,4.59
Hilo,75,US,1600635237,74,19.73,-155.09,80.6,3.36
Boende,36,CD,1600635695,78,-0.22,20.87,73.83,2.86
Aksarka,100,RU,1600635695,87,66.56,67.8,42.57,1.5
Bherāmāra,100,BD,1600635238,91,24.02,88.99,79.86,7.67
Castro,57,BR,1600635650,77,-24.79,-50.01,63.28,10.92
Brigantine,1,US,1600635239,36,39.41,-74.36,63.0,17.22
Hamilton,1,US,1600635486,25,39.18,-84.53,73.4,6.93
Matara,98,LK,1600635239,88,5.95,80.54,77.4,9.91
Srednekolymsk,0,RU,1600635696,90,67.45,153.68,32.99,3.62
Baisha,100,CN,1600635240,88,26.52,110.93,68.29,1.54
Ninotsminda,0,GE,1600635240,66,41.26,43.59,53.6,4.7
Lebu,63,CL,1600635697,69,-37.62,-73.65,54.32,11.88
Camacha,20,PT,1600635698,78,33.08,-16.33,71.6,4.7
Chui,0,UY,1600635611,60,-33.7,-53.46,54.72,8.72
Shubarshi,91,KZ,1600635241,51,48.59,57.19,50.83,12.64
Isangel,3,VU,1600635699,73,-19.55,169.27,72.66,15.82
Benjamin Constant,40,BR,1600635570,65,-4.38,-70.03,82.4,3.36
Hermanus,99,ZA,1600635654,59,-34.42,19.23,55.99,1.99
Shingū,100,JP,1600635699,79,33.73,135.98,65.14,3.4
